id,text,persian,verse,surah,surahName,section,part,prostration,cut_off_letters,page
"1","بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِیم","به‌ نام‌ خداوند هستی‌ بخش‌ مهربان","1","1","الفاتحة","1","1","","","1"
"2","الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِین","ستایش‌ خدای‌ ‌را‌ ‌که‌ پروردگار جهانیان‌ ‌است","2","1","الفاتحة","1","1","","","1"
"3","الرَّحْمَنِ الرَّحِیم","آن‌ هستی‌ بخش‌ مهربان","3","1","الفاتحة","1","1","","","1"
"4","مَالِکِ یَوْمِ الدِّین","صاحب‌ روز جزا","4","1","الفاتحة","1","1","","","1"
"5","إِیَّاکَ نَعْبُدُ وَإِیَّاکَ نَسْتَعِین","بار الها] تنها تو ‌را‌ می‌پرستیم‌ و تنها ‌از‌ تو یاری‌ می‌جوییم","5","1","الفاتحة","1","1","","","1"
"6","اهْدِنَا الصِّرَاطَ الْمُسْتَقِیم","ما ‌را‌ ‌به‌ راه‌ راست‌ هدایت‌ فرما","6","1","الفاتحة","1","1","","","1"
"7","صِرَاطَ الَّذِینَ أَنْعَمْتَ عَلَیْهِمْ غَیْرِ الْمَغْضُوبِ عَلَیْهِمْ وَلَا الضَّالِّین","راه‌ آنان‌ ‌که‌ موهبتشان‌ دادی‌، نه‌ راه‌ غضب‌ شدگان‌ و نه‌ گمراهان","7","1","الفاتحة","1","1","","","1"
"8","الم","الف‌، لام‌، میم","1","2","البقرة","1","1","","true","2"
"9","ذَلِکَ الْکِتَابُ لَا رَیْبَ فِیهِ هُدًى لِّلْمُتَّقِین","آن‌ کتاب‌ [بلند مرتبه‌] هیچ‌ تردیدی‌ ‌در‌ ‌آن‌ نیست‌، راهنمای‌ پرهیزگاران‌ ‌است","2","2","البقرة","1","1","","","2"
"10","الَّذِینَ یُؤْمِنُونَ بِالْغَیْبِ وَیُقِیمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ یُنفِقُون","آنان‌ ‌که‌ ‌به‌ غیب‌ ایمان‌ می‌آورند و نماز ‌را‌ برپا می‌دارند و ‌از‌ آنچه‌ روزیشان‌ کرده‌ایم‌، انفاق‌ می‌کنند","3","2","البقرة","1","1","","","2"
"11","وَالَّذِینَ یُؤْمِنُونَ بِمَا أُنزِلَ إِلَیْکَ وَمَا أُنزِلَ مِن قَبْلِکَ وَبِالْآخِرَةِ هُمْ یُوقِنُون","و آنان‌ ‌که‌ ‌به‌ آنچه‌ ‌به‌ تو نازل‌ گردیده‌ و آنچه‌ پیش‌ ‌از‌ تو نازل‌ ‌شده‌، ایمان‌ می‌آورند و اینانند ‌که‌ ‌به‌ آخرت‌ یقین‌ دارند","4","2","البقرة","1","1","","","2"
"12","أُولَئِکَ عَلَى هُدًى مِّن رَّبِّهِمْ وَأُولَئِکَ هُمُ الْمُفْلِحُون","آنان‌ ‌بر‌ هدایتی‌ ‌از‌ پروردگار خویشند و ‌هم‌ ‌ایشان‌ رستگارانند","5","2","البقرة","1","1","","","2"
"13","إِنَّ الَّذِینَ کَفَرُوا سَوَاءٌ عَلَیْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا یُؤْمِنُون","به‌ راستی‌ آنان‌ ‌که‌ کفر ورزیدند تفاوتشان‌ نکند چه‌ انذارشان‌ کنی‌ ‌ یا ‌ انذارشان‌ نکنی‌ ایمان‌ نمی‌آورند","6","2","البقرة","1","1","","","3"
"14","خَتَمَ اللَّهُ عَلَى قُلُوبِهِمْ وَعَلَى سَمْعِهِمْ وَعَلَى أَبْصَارِهِمْ غِشَاوَةٌ وَلَهُمْ عَذَابٌ عَظِیم","خدا‌ ‌بر‌ دل‌ها و شنوایی‌شان‌ مهر نهاده‌ و ‌بر‌ چشمانشان‌ پرده‌ای‌ ‌است‌ و ‌آنها‌ ‌را‌ عذابی‌ بزرگ‌ ‌است","7","2","البقرة","1","1","","","3"
"15","وَمِنَ النَّاسِ مَن یَقُولُ آمَنَّا بِاللَّهِ وَبِالْیَوْمِ الْآخِرِ وَمَا هُم بِمُؤْمِنِین","و ‌از‌ مردم‌ کسانی‌ هستند ‌که‌ می‌گویند: ‌ما ‌به‌ ‌خدا‌ و روز واپسین‌ ایمان‌ آورده‌ایم‌ ولی‌ آنان‌ مؤمن‌ نیستند","8","2","البقرة","1","1","","","3"
"16","یُخَادِعُونَ اللَّهَ وَالَّذِینَ آمَنُوا وَمَا یَخْدَعُونَ إِلَّا أَنفُسَهُمْ وَمَا یَشْعُرُون","می‌خواهند ‌خدا‌ و مؤمنان‌ ‌را‌ فریب‌ دهند، ‌در‌ حالی‌ ‌که‌ جز خودشان‌ ‌را‌ فریب‌ نمی‌دهند، ولی‌ نمی‌فهمند","9","2","البقرة","1","1","","","3"
"17","فِی قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا وَلَهُمْ عَذَابٌ أَلِیمٌ بِمَا کَانُوا یَکْذِبُون","در‌ دل‌هایشان‌ بیماری‌ ‌است‌، ‌پس‌ ‌خدا‌ ‌ایشان‌ ‌را‌ بیماری‌ افزود، و آنان‌ ‌را‌ ‌به‌ سزای‌ ‌این‌ ‌که‌ دروغ‌ می‌گفتند عذابی‌ دردناک‌ ‌است","10","2","البقرة","1","1","","","3"
"18","وَإِذَا قِیلَ لَهُمْ لَا تُفْسِدُوا فِی الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُون","و چون‌ ‌به‌ آنان‌ گفته‌ شود: ‌در‌ زمین‌ فساد نکنید، گویند: جز ‌این‌ نیست‌ ‌که‌ ‌ما اصلاحگرانیم","11","2","البقرة","1","1","","","3"
"19","أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَکِن لَّا یَشْعُرُون","به‌ هوش‌ باش‌ ‌که‌ همین‌ها تبهکارانند ولی‌ نمی‌فهمند","12","2","البقرة","1","1","","","3"
"20","وَإِذَا قِیلَ لَهُمْ آمِنُوا کَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ کَمَا آمَنَ السُّفَهَاءُ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَکِن لَّا یَعْلَمُون","و چون‌ ‌به‌ ‌آنها‌ گفته‌ شود: ‌شما‌ نیز مانند [سایر] مردم‌ ایمان‌ بیاورید، گویند: آیا ‌ما ‌هم‌ مانند کم‌خردان‌ ایمان‌ بیاوریم‌! بدان‌ ‌که‌ آنان‌ ‌خود‌ کم‌ خردانند امّا نمی‌دانند","13","2","البقرة","1","1","","","3"
"21","وَإِذَا لَقُوا الَّذِینَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَى شَیَاطِینِهِمْ قَالُوا إِنَّا مَعَکُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُون","و چون‌ ‌با‌ مؤمنان‌ رو ‌به‌ رو شوند گویند: ایمان‌ آورده‌ایم‌، و چون‌ ‌با‌ یاران‌ شیطانی‌ ‌خود‌ تنها شوند، گویند: ‌ما بی‌تردید ‌با‌ ‌شما‌ هستیم‌، جز ‌این‌ نیست‌ ‌که‌ ‌ما [‌آنها‌ ‌را‌] ‌به‌ مسخره‌ گرفته‌ایم","14","2","البقرة","1","1","","","3"
"22","اللَّهُ یَسْتَهْزِئُ بِهِمْ وَیَمُدُّهُمْ فِی طُغْیَانِهِمْ یَعْمَهُون","خداست‌ ‌که‌ ‌آنها‌ ‌را‌ ‌به‌ مسخره‌ می‌گیرد و فرصت‌ می‌دهد ‌تا‌ ‌در‌ طغیانشان‌ سرگردان‌ بمانند","15","2","البقرة","1","1","","","3"
"23","أُولَئِکَ الَّذِینَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَى فَمَا رَبِحَت تِّجَارَتُهُمْ وَمَا کَانُوا مُهْتَدِین","همین‌ کسانند ‌که‌ گمراهی‌ ‌را‌ ‌به‌ بهای‌ هدایت‌ خریدند ‌پس‌ تجارتشان‌ سود نکرد و هدایت‌پذیر نبودند","16","2","البقرة","1","1","","","3"
"24","مَثَلُهُمْ کَمَثَلِ الَّذِی اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّهُ بِنُورِهِمْ وَتَرَکَهُمْ فِی ظُلُمَاتٍ لَّا یُبْصِرُون","مثل‌ آنان‌ مثل‌ کسی‌ ‌است‌ ‌که‌ [‌به‌ زحمت‌] آتشی‌ بیفروخت‌ و همین‌ ‌که‌ اطراف‌ وی‌ ‌را‌ روشن‌ ساخت‌، ‌خدا‌ نورشان‌ ‌را‌ برد و ‌در‌ تاریکی‌ها رهایشان‌ کرد ‌که‌ نبینند","17","2","البقرة","1","1","","","4"
"25","صُمٌّ بُکْمٌ عُمْیٌ فَهُمْ لَا یَرْجِعُون","کرانند و گنگانند و کورانند، ‌پس‌ [‌از‌ گمراهی‌] باز نمی‌گردند","18","2","البقرة","1","1","","","4"
"26","أَوْ کَصَیِّبٍ مِّنَ السَّمَاءِ فِیهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ یَجْعَلُونَ أَصَابِعَهُمْ فِی آذَانِهِم مِّنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ وَاللَّهُ مُحِیطٌ بِالْکَافِرِین","یا ‌ مانند مثل‌ رگبار تندی‌ ‌از‌ آسمان‌ ‌است‌ ‌که‌ ‌در‌ ‌آن‌ تاریکی‌ها و رعد و برق‌ ‌است‌ ‌که‌ ‌از‌ [غرّش‌] صاعقه‌ها و بیم‌ مرگ‌، انگشتان‌ خویش‌ ‌در‌ گوش‌هایشان‌ کنند، و ‌خدا‌ ‌بر‌ کافران‌ احاطه‌ دارد","19","2","البقرة","1","1","","","4"
"27","یَکَادُ الْبَرْقُ یَخْطَفُ أَبْصَارَهُمْ کُلَّمَا أَضَاءَ لَهُم مَّشَوْا فِیهِ وَإِذَا أَظْلَمَ عَلَیْهِمْ قَامُوا وَلَوْ شَاءَ اللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ إِنَّ اللَّهَ عَلَى کُلِّ شَیْءٍ قَدِیر","نزدیک‌ ‌است‌ برق‌ چشمانشان‌ ‌را‌ بزند، ‌هر‌ بار ‌که‌ ‌برای‌ آنان‌ روشن‌ کند، ‌در‌ ‌آن‌ راه‌ روند و چون‌ ‌بر‌ ‌آنها‌ تاریک‌ نماید باز ایستند، و ‌اگر‌ ‌خدا‌ می‌خواست‌، شنوایی‌ و چشمانشان‌ ‌را‌ [یکجا] می‌گرفت‌ بی‌گمان‌، ‌خدا‌ ‌بر‌ ‌هر‌ چیزی‌ تواناست","20","2","البقرة","1","1","","","4"
"28","یَا أَیُّهَا النَّاسُ اعْبُدُوا رَبَّکُمُ الَّذِی خَلَقَکُمْ وَالَّذِینَ مِن قَبْلِکُمْ لَعَلَّکُمْ تَتَّقُون","ای‌ مردم‌! پروردگارتان‌ ‌را‌ ‌که‌ ‌شما‌ و کسان‌ قبل‌ ‌از‌ ‌شما‌ ‌را‌ آفرید بپرستید، ‌باشد‌ ‌که‌ پرهیزگار شوید","21","2","البقرة","1","1","","","4"
"29","الَّذِی جَعَلَ لَکُمُ الْأَرْضَ فِرَاشًا وَالسَّمَاءَ بِنَاءً وَأَنزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقًا لَّکُمْ فَلَا تَجْعَلُوا لِلَّهِ أَندَادًا وَأَنتُمْ تَعْلَمُون","خدایی‌ ‌که‌ ‌برای‌ ‌شما‌ زمین‌ ‌را‌ بستری‌ هموار و آسمان‌ ‌را‌ سرپناهی‌ قرار داد و ‌از‌ آسمان‌ آبی‌ نازل‌ کرد ‌که‌ بدان‌ ‌از‌ میوه‌ها رزقی‌ ‌برای‌ ‌شما‌ برآورد ‌پس‌ ‌برای‌ ‌خدا‌ همتایان‌ قرار ندهید ‌در‌ حالی‌ ‌که‌ ‌خود‌ می‌دانید","22","2","البقرة","1","1","","","4"
"30","وَإِن کُنتُمْ فِی رَیْبٍ مِّمَّا نَزَّلْنَا عَلَى عَبْدِنَا فَأْتُوا بِسُورَةٍ مِّن مِّثْلِهِ وَادْعُوا شُهَدَاءَکُم مِّن دُونِ اللَّهِ إِن کُنتُمْ صَادِقِین","و ‌اگر‌ ‌در‌ آنچه‌ ‌بر‌ بنده‌ی‌ خویش‌ نازل‌ کرده‌ایم‌ شک‌ دارید، سوره‌ای‌ مانند ‌آن‌ بیاورید و شاهدان‌ ‌خود‌ ‌را‌ ‌غیر‌ ‌از‌ ‌خدا‌ فراخوانید ‌اگر‌ راست‌ می‌گویید","23","2","البقرة","1","1","","","4"
"31","فَإِن لَّمْ تَفْعَلُوا وَلَن تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتِی وَقُودُهَا النَّاسُ وَالْحِجَارَةُ أُعِدَّتْ لِلْکَافِرِین","پس‌ ‌اگر‌ نکردید و هرگز نخواهید کرد، ‌از‌ آتشی‌ ‌که‌ هیمه ‌آن‌ مردمان‌ و سنگ‌هاست‌ برحذر باشید ‌که‌ ‌برای‌ کفار مهیّا ‌شده‌ ‌است","24","2","البقرة","1","1","","","4"
